"CONTENTID","CONTENTTYPEID","TITLE"
"128794","12","표선 해비치 해변"
"733902","32","푸른제주 펜션"
"1887546","32","프레리아펜션"
"577457","12","프시케월드(나비공원)"
"2015336","12","플레이케이팝(PLAY K-POP)"
"591798","12","하고수동해변"
"1923590","12","하늬복이오름"
"142971","32","하니크라운호텔"
"2023328","12","하도어촌체험마을"
"404185","39","하르방밀면"
"1620997","12","하멜기념비"
"1620883","12","하모해수욕장"
"977101","32","하얀둥지 펜션"
"1893993","32","하얀언덕"
"142964","32","하얏트리젠시 제주"
"142944","32","하와이관광호텔"
"136240","32","한국콘도 제주지점"
"1918643","12","한대오름"
"264590","12","한라산 백록담"
"126436","12","한라산 성판악"
"126469","12","한라산 영실"
"127635","12","한라산국립공원 [유네스코 세계자연유산]"
"802844","12","한라생태숲"
"127514","12","한라수목원"
"655015","39","한라식당"
"126455","12","한림공원"
"404187","39","한성식당"
"930345","12","한수풀 해녀학교"
"138195","32","한화리조트 / 제주"
"126451","12","함덕 서우봉 해변"
"1882595","32","함덕삼다펜션"
"1420586","39","해녀횟집"
"733924","32","해뜨는집 펜션"
"1984748","39","해락원"
"664371","39","해미원"
"138184","32","해비치리조트"
"551958","32","해비치호텔"
"404220","39","해송수산물회센타"
"664204","39","해오름식당"
"664982","39","해운대가든"
"1308810","39","해진횟집"
"134980","39","해촌"
"138320","32","허브동산 향기펜션"
"129619","12","협재굴(한림공원)"
"127490","12","협재해변"
"128793","12","형제섬"
"1836883","32","호스텔 린든 [우수숙박시설 굿스테이]"
"142974","32","호텔 뉴크라운"
"2411625","32","호텔 리젠트마린 더 블루"
"142958","32","호텔 하나"
"659161","32","호텔EJ [우수숙박시설 굿스테이]"
"1979715","32","호텔레오"
"1898255","32","호텔제이엠(JM)"
"126465","12","혼인지"
"1936000","12","혼인지마을"
"126443","12","화순 금모래 해변"
"1890901","12","환상숲 곶자왈공원"
"723744","39","황금륭버거"
"686399","39","황금어장"
"2032460","12","황우지해안"
"1890872","12","후곡악"
"2406279","32","후아힌제주 풀빌라"
"583141","32","휘닉스 제주 섭지코지"
"322836","12","휴애리자연생활공원"
"1019491","39","흑돈가"
"1018723","39","흑돼지구이집 하영"
"135867","39","흑마가든"
"1823088","39","흑한우명품관"
"1890857","12","흙붉은오름"
"1865806","39","1080칼국수"
"1861656","12","1100고지습지"
"2359240","39","88돼지"
"397643","32","C&P리조트 유스호스텔"
"1799245","39","ICC JEJU  패밀리 레스토랑 델리지아"
"974839","32","IGH펜션"
"2469465","12","KBS 제주"
"1620910","12","SOS박물관"
"1905280","32","The Bay 리조트 (더 베이 리조트)"
"750731","39","UFO 카페&펜션"
"139856","32","jj하우스"
"2469473","12","㈜제주사랑 농수산"
"2469469","12","㈜제주오렌지 드림팩토리"
"1896032","32","가름게스트하우스"
"1884191","12","가마오름"
"1884202","12","가메창(암메)"
"1884505","12","가문이오름(감은이오름)"
"1865946","39","가산토방 식당"
"1884521","12","가새기오름"
"1885746","12","가세오름"
"1866904","39","가시식당"
"1885754","12","가시오름"
"1866951","39","가정식당"
"126446","12","가파도"
"1887368","12","각시바우오름"
"1887381","12","갈마못(갈뫼못)"
"635593","12","갈중이(천연염색체험)"
"2469471","12","감귤복합처리가공공장"
"1866954","39","감나무집"
"1887493","12","감낭오름"
"1887501","12","감은이오름"
"1887866","12","갑선이오름"
"127050","12","강정천"
"1887873","12","개오름"
"1889809","12","개오리오름"
"1889833","12","갯거리오름(갯그르)"
"1890152","12","거린사슴"
"636266","12","거문오름 [세계자연유산]"
"1890177","12","거미오름"
"1918646","12","거슨세미(세미오름, 샘오름)"
"1918965","12","걸시오름"
"598635","12","검멀레해변"
"2359165","39","검은여쉼터"
"1867997","39","겐짱야"
"404193","39","고관심해장국"
"127051","12","고근산"
"1869163","32","고내촌휴양펜션"
"1832696","32","고망난돌민박"
"1867998","39","고불락"
"129075","12","고산마을 [해양수산부 선정 아름다운 어촌]"
"135288","39","고우니가든"
"1868498","32","고추잠자리"
"135864","39","고향제주"
"1868009","39","골막식당"
"1868014","39","공설식당"
"127870","12","곽지과물해변"
"126460","12","관덕정(제주)"
"126456","12","관음사(제주)"
"1861336","39","광양해장국"
"1868081","39","광평도새기촌 이도점"
"1918950","12","괴오름"
"404121","39","괸당네갈치요리"
"404124","39","괸당네식당"
"128443","12","교래 삼다수마을"
"1872375","39","교래아름가든"
"1918984","12","구두리오름"
"1621059","12","구시물"
"129073","12","구엄어촌체험마을"
"602683","12","구좌풍력발전기"
"1872423","39","국수냐 국밥이냐"
"1872456","39","국수와 냉면"
"1872474","39","국수의 전설"
"1945768","12","군산오름"
"404126","39","굼부리식당"
"733393","32","굿모닝하우스"
"137759","32","굿인호텔"
"1964461","39","궁한스 샤브샤브"
"1960087","12","귤림서원"
"138494","32","귤익는마을"
"733624","32","그린사이드"
"138597","32","그림리조트"
"1872476","39","그옛맛"
"404128","39","금강민물장어"
"133554","39","금강통돼지바베큐식당"
"127860","12","금능석물원"
"591866","12","금능으뜸원해변"
"2027184","12","금룡사(제주)"
"1876796","39","금문도"
"1876804","39","금바우"
"1896585","39","금뽕똘"
"127310","12","금산공원(납읍난대림지대)"
"129699","12","금오름"
"600584","12","금호리조트 제주아쿠아나"
"1876810","39","기사숯불구이"
"1876812","39","길벗식당"
"127046","12","김녕미로공원"
"126453","12","김녕사굴 [유네스코 세계자연유산]"
"129400","12","김녕성세기해변 (김녕해수욕장)"
"1876813","39","김대감숯불갈비"
"1876814","39","김명자굴국밥(제주본점)"
"735314","32","까델아스 리조트"
"1876822","39","깜돈 흑돼지"
"1876823","39","꼬꼬닭한마리"
"735781","32","꼬뜨도르 호텔"
"1876847","39","꽃가마식당"
"1891015","32","끄라비 펜션"
"1869305","32","나.미.송"
"1876872","39","나무"
"1749084","32","나비스호텔 [우수숙박시설 굿스테이]"
"2374199","39","나운터횟집"
"138365","32","나인브릿지콘도"
"1876988","39","낙지마당"
"128795","12","남원 큰엉해안"
"1904937","32","남원화이트빌리지"
"126731","12","남제주 억새오름길"
"2469466","12","남제주발전본부"
"1876994","39","낭뜰에쉼팡"
"1876996","39","내가 찾은 맛고을"
"664223","39","네거리식당"
"2472824","12","넥슨컴퓨터박물관"
"138595","32","노블렛 통나무 빌리지&가족호텔"
"1897905","32","노을담은뜨락"
"733414","32","노인과바다 펜션"
"579053","39","녹산장가든"
"1964507","39","놀맨"
"1965800","12","높은오름"
"142945","32","뉴아일랜드 관광호텔"
"1887631","32","뉴코리아 유스호스텔"
"137832","32","늘바다 통나무집"
"824811","32","늘송파크텔[우수숙박시설 굿스테이]"
"1877050","39","닐모리동동"
"577461","12","다랑쉬오름(월랑봉)"
"1877056","39","다래향"
"1928421","12","다려도"
"855653","39","다미정"
"1877081","39","다미회"
"1748655","12","다빈치 뮤지엄"
"1966739","39","다솔돌솥밥"
"2418778","12","다이나믹 메이즈 (제주 성읍점)"
"138856","32","다이아몬드호텔 [우수숙박시설 굿스테이]"
"1877416","39","다해복국"
"745449","12","다희연"
"719643","32","담앤루리조트"
"820903","39","대관원"
"232287","32","대명리조트 제주"
"404135","39","대우정"
"404196","39","대우정식당"
"133232","39","대유랜드(대유식당)"
"1621175","12","대정향교"
"664191","39","대포숲섬횟집갈치전문점"
"2019657","32","더 세리리조트 [우수숙박시설 굿스테이]"
"2406368","32","더럭펜션"
"665594","12","더마파크"
"1903318","39","덕인당"
"654999","39","덤장"
"1881611","39","도남 칼국수"
"687869","39","도남오거리식당"
"687928","39","도남오거리식당(외도점)"
"1928430","12","도너리오름"
"133258","39","도라지식당"
"1899959","12","도리미오름"
"1881664","39","독개물항"
"1881834","39","돈가"
"126441","12","돈내코"
"1881993","39","돈돈이네"
"1882000","39","돈돼지흑돼지"
"1882196","39","돈복"
"1827790","39","돈사돈(본관)"
"1882198","39","돈사촌 외도점"
"1882201","39","돈향기"
"2363047","39","돌토고리카페"
"820822","39","돌하르방"
"135919","39","돔베돈"
"2390111","12","동광리농촌체험마을"
"1882211","39","동그라미 식육식당"
"2358196","32","동박생이"
"1906195","12","동백동산"
"599863","39","동복해녀식당.횟집"
"1847757","39","동복해녀촌"
"1933214","12","동수악"
"1882215","39","동우네"
"2301035","12","동화 속으로 미로공원(세리월드)"
"1966799","39","돼지꿈"
"1882276","39","두꺼비식당"
"1906211","12","두맹이골목"
"1933208","12","둔지봉"
"1882353","39","둠비정원"
"1905304","32","드림캐슬"
"138858","32","디셈버호텔 [우수숙박시설 굿스테이]"
"572968","12","따라비 오름"
"1882362","39","떡볶이대학 라면학과"
"143088","32","라마다프라자 제주호텔"
"664083","32","라사니아캐슬"
"2445116","32","라오체리조트"
"984611","32","라온호텔 앤 리조트"
"142950","32","라자 관광호텔"
"1405489","39","라지마할"
"935073","32","라헨느리조트"
"938689","32","레이크힐스 골프텔 제주"
"2472737","12","렛츠런 파크 제주"
"143036","32","로베로호텔"
"2046954","32","롯데시티호텔 제주"
"143025","32","롯데호텔 제주"
"733422","32","롱비치펜션"
"2007416","32","루체빌리조트"
"1865936","39","리치망고 (구. 망고레이)"
"2359178","39","리치망고 (쇠소깍점)"
"1883573","39","마돈"
"129145","12","마라도 등대"
"126450","12","마라도(마라해양도립공원)"
"128802","12","마라도가는 여객선"
"1960009","12","마라도잠수함"
"1841241","12","마린파크"
"1948795","39","마울"
"1883607","39","마중물삼계탕"
"2384991","39","마켓오름"
"134993","39","만복횟집"
"1883622","39","만부정"
"1883646","39","만세국수"
"1883662","39","만세국수 (삼성혈점)"
"126452","12","만장굴 [유네스코 세계자연유산]"
"1805392","39","만조 이천쌀밥 (성산일출봉점)"
"1891935","39","맛나리"
"1891943","39","맛있는 집"
"2469467","12","맥파이 브루어리"
"1566985","32","메모리 인 제주"
"1329201","12","메이즈랜드"
"142957","32","메종글래드 제주 (구. 제주 그랜드호텔)"
"1909258","39","명도암수다뜰"
"1891955","39","명문사거리식당"
"404141","39","명원가든"
"127909","12","명월대"
"1926601","12","모구리오름"
"2017262","32","모두올레애견펜션"
"1966821","39","모드락572"
"1370778","39","모모야마(제주)"
"1861360","39","모이세해장국 본점"
"1928045","12","모지오름"
"126459","12","모충사"
"1892305","39","몽생이 식당"
"1892039","39","무뚱식도락식당"
"1892046","39","무봤나버섯칼국수"
"126467","12","무수천"
"1892321","39","무인카페 산책"
"1892214","39","무진장식당(오라동점)"
"127048","12","문섬/섶섬/범섬/새섬"
"2000893","32","물고기나무 게스트하우스"
"879633","12","물드리네"
"2433925","12","물영아리오름"
"655261","39","물항식당"
"1905521","32","미도모텔"
"1892491","39","미루네 닭 숯불구이"
"1861092","39","미풍해장국 신제주점"
"1870515","32","민박하얀집"
"1905562","32","밀라노모텔"
"972415","32","밀레니엄빌"
"733437","32","밀려오는파도소리 펜션"
"1404293","39","바그다드"
"1933217","12","바늘오름"
"1984133","39","바다는안보여요"
"1984140","39","바다생선구이맛집"
"733516","32","바다에누워 펜션"
"1895719","39","바다의집"
"1895793","39","바다잔치"
"1895854","39","바다풍경"
"1853848","32","바다하우스"
"1964460","39","바당국수"
"1984158","39","바당회국수"
"1895974","39","바캉스샤브샤브"
"1896028","39","방듸"
"129402","12","방사탑(제주)"
"126468","12","방선문"
"1984236","39","백기해녀의집"
"133978","39","백록회관"
"2027203","12","백제사"
"2364633","12","번개과학체험관"
"309943","12","법화사"
"1896087","39","법환어촌계횟집"
"1963403","32","베니키아 아이진호텔"
"2038553","32","베니키아 중문호텔"
"1981890","32","베니키아 호텔 제주"
"1976354","32","베니키아 홈 더 제주리조트"
"142969","32","베니키아호텔 마리나"
"143081","32","베니키아호텔 제주크리스탈"
"1069292","12","별도봉(베리오름)"
"128796","12","별방진"
"404146","39","별주부전"
"1940256","32","볕들이펜션"
"404199","39","보건식당"
"315926","12","보덕사(제주)"
"660906","32","보라보라리조트"
"316058","12","보림사(제주)"
"129076","12","보목마을 [해양수산부 선정 아름다운 어촌]"
"733540","32","보물섬펜션"
"134977","39","보영반점"
"982384","32","보오메꾸뜨르호텔"
"1896634","39","복단지식당"
"129403","12","복신미륵"
"1896649","39","본가"
"733555","32","봄그리고가을 펜션"
"128777","12","북촌 돌하르방공원"
"317558","12","불탑사(제주)"
"1898484","12","붉은오름자연휴양림"
"733569","32","뷰티풀하우스"
"733575","32","블루스카이 펜션"
"1312039","32","블루펄리조트"
"1947981","32","비롯하우스"
"127529","12","비양도"
"1895633","12","비양봉"
"1905844","32","비울채울"
"126472","12","비자림"
"1861333","39","비지곶식당"
"139008","32","비치스토리 호텔 [우수숙박시설 굿스테이]"
"1749012","32","빌레리조트"
"139860","32","빌로우비치 호텔"
"1873541","32","사계여행"
"1069144","12","사라봉"
"127055","12","사라봉(모충사) 의병항쟁기념탑"
"126454","12","사라봉공원"
"1215292","12","사라오름"
"2301059","12","사려니 숲길"
"137474","32","사조리조트 제주"
"126474","12","산굼부리"
"2021434","32","산들애풀하우스"
"126457","12","산방굴사(제주)"
"1906018","32","산방산 해오름 휴양펜션"
"127861","12","산방산(제주)"
"138600","32","산방산에 펜션"
"129148","12","산지 등대"
"655532","39","산지로"
"1828321","39","산지물식당"
"1069322","12","산지천"
"126461","12","산천단곰솔"
"1865762","39","삼다도횟집"
"134692","39","삼다정"
"1847759","39","삼다해물뚝배기"
"404202","39","삼대국수회관"
"127049","12","삼매봉"
"1984251","39","삼복가든"
"664081","39","삼성혈해물탕"
"129401","12","삼양 검은모래해변"
"1941146","12","삼의봉"
"1941153","12","삼의양오름"
"142949","32","삼해인 관광호텔"
"1984252","39","새둥지"
"404149","39","새만부정"
"572973","12","새별오름"
"879234","12","새섬 새연교"
"1315492","39","새섬갈비"
"1945414","12","새신오름(신서악)"
"2374023","32","샘모루펜션"
"125445","12","생각하는 정원"
"687466","39","생각하는정원(유연)"
"404151","39","생원전복"
"978343","32","샤뜰레 펜션"
"1906127","32","샤론의집"
"1748965","32","샤이니호텔"
"138019","32","샤인빌 럭셔리 리조트"
"1936039","12","서건도"
"1621018","12","서귀본향당"
"1993734","12","서귀포 가시리마을"
"137788","32","서귀포 귤림성"
"127520","12","서귀포 김정희 유배지"
"129381","12","서귀포 알토산마을"
"129326","12","서귀포 예래생태마을"
"129327","12","서귀포 용왕난드르마을"
"1896768","12","서귀포 칠십리 해안경승지"
"142965","32","서귀포KAL호텔"
"125402","12","서귀포시"
"128838","12","서귀포유람선"
"128175","12","서귀포자연휴양림"
"126665","12","서귀포잠수함"
"601489","12","서귀포해양도립공원"
"655543","39","서울뚝배기"
"129276","12","석부작박물관"
"318339","12","선광사(제주)"
"598187","12","선녀와나무꾼 테마공원"
"404205","39","선명횟집"
"988441","12","선임교"
"1309941","39","섬횟집"
"127813","12","섭지코지"
"1984253","39","성미가든"
"138259","32","성산 아일랜드"
"126435","12","성산일출봉 [유네스코 세계자연유산]"
"133977","39","성산포뚝배기"
"128154","12","성산포유람선"
"1621155","12","성읍고평오가옥"
"126471","12","성읍민속마을"
"404156","39","성읍칠십리주막"
"687510","39","성읍타운"
"404158","39","세화리해녀의집"
"1621077","12","세화해수욕장"
"1894957","12","셰프라인월드"
"1945578","12","소남머리"
"1828308","39","소라횟집"
"1888034","32","소랑호젠"
"129405","12","소정방폭포"
"135917","39","속초식당"
"1945394","12","손지오름"
"138594","32","솔바람풍경소리"
"1945592","12","송아오름"
"970731","32","송악리조트"
"126672","12","송악산"
"598696","12","쇠머리오름(우도봉)"
"129617","12","쇠소깍"
"404130","39","수미향토음식점"
"778296","12","수보사(구,광명사)"
"1945208","12","수악(물오름)"
"133973","39","수용횟집(체험배낚시)"
"126434","12","수월봉"
"228859","12","수월봉과 차귀해안"
"1305270","39","수희식당"
"578311","39","순덕이네해산물장터"
"1828395","39","순옥이네명가"
"1959018","39","순풍해장국"
"1836795","32","숨 게스트하우스 제주공항점"
"1874030","32","숨비아일랜드"
"914711","32","숲속의궁전"
"2368195","39","쉬는팡가든"
"2469444","12","스마트그리드 홍보관"
"138003","32","스위트드림빌"
"970675","32","스프링힐 리조트"
"2414812","12","신산공원"
"397635","32","신성리조트"
"137348","32","신세계호텔"
"126447","12","신양 섭지코지해변"
"129072","12","신양마을 [해양수산부 선정 아름다운 어촌]"
"2469468","12","신재생에너지 홍보관"
"655553","39","신제주삼보식당"
"1621045","12","신촌향사"
"635701","12","신풍 신천 바다목장"
"1993484","32","싸리즈 펜션"
"129620","12","쌍용굴(한림공원)"
"143057","32","썬비치호텔"
"973990","32","씨에나펜션"
"142948","32","씨에스 호텔&리조트"
"733613","32","아망뜨펜션(제주)"
"1351320","12","아부오름"
"136453","32","아이웰 썬랜드 호텔"
"985385","32","아침의향기"
"2359168","39","안거리 밖거리"
"126440","12","안덕계곡"
"128640","12","알뜨르비행장 및 일본군 비행기 격납고"
"733622","32","앙끄리에펜션"
"404216","39","야자수식당"
"127862","12","약천사(제주)"
"1620863","12","양금석가옥"
"128326","12","어멍아방잔치마을"
"1984256","39","어부랑누이랑"
"127202","12","어승생"
"1925362","12","어영소공원"
"404209","39","어장군"
"1828301","39","어진이네횟집"
"127052","12","엉또폭포"
"1898906","12","엉알해안"
"143132","32","에뜨왈 리조트"
"1146121","12","에코랜드테마파크"
"495900","32","에쿠스모텔 [우수숙박시설 굿스테이]"
"733654","32","에트왈제주 펜션"
"2031057","32","엘린 호텔"
"126464","12","여미지식물원"
"126463","12","연북정"
"126473","12","연화못(하가못)"
"1925366","12","열안지(오라동)"
"1925369","12","열안지오름(봉개동)"
"1348840","32","예래펜션"
"662445","32","예이츠 산장"
"776998","32","예하게스트하우스 [우수숙박시설 굿스테이]"
"1984267","39","옛고을돼지국밥"
"664154","39","옛날옛적"
"404165","39","옛정의골식당"
"1984276","39","오늘은 회"
"1896538","39","오라숲소리(구. 고내촌숲소리)"
"1910891","32","오렌지트리호텔"
"1984486","39","오름가든"
"2035397","39","오름나그네"
"1926354","12","오백나한"
"2473487","12","오설록 티뮤지엄"
"143120","32","오션그랜드호텔제주"
"1403482","32","오션스위츠 제주호텔"
"971331","32","오션하우스"
"129071","12","오조마을 [해양수산부 선정 아름다운 어촌]"
"404168","39","오조해녀의집"
"126462","12","오현단"
"1909351","39","온평향토맛집"
"820960","39","올드상하이"
"1827714","39","올래국수"
"133974","39","옹포별장가든"
"2363045","39","와랑와랑"
"1891566","32","와이리조트 제주(Y RESORT JJ)"
"2301104","12","왈종미술관"
"1925384","12","왕이메"
"126470","12","외돌개(제주)"
"572960","12","용눈이오름"
"228853","12","용두암"
"250412","12","용두암해수랜드"
"1984286","39","용두암해촌"
"228854","12","용머리해안"
"127745","12","용연"
"478113","12","용천동굴 [유네스코 세계자연유산]"
"129147","12","우도 등대"
"598558","12","우도 산호해변(서빈백사)"
"129074","12","우도마을 [해양수산부 선정 아름다운 어촌]"
"127363","12","우도잠수함"
"127336","12","우도해양도립공원"
"2359221","39","우정회센타 (2호점)"
"1973369","12","웃세오름"
"126458","12","원당사지"
"126475","12","월대"
"1895925","32","월드와이드 유스호스텔"
"347233","12","월영사(제주)"
"1918639","12","월정리해변(월정리해수욕장)"
"347234","12","월정사(제주)"
"2384960","39","웬드구니"
"1312500","32","웰리조트"
"128330","12","위미1리어촌체험마을"
"1511149","32","유로리조트"
"138009","32","유리성펜션"
"404214","39","유빈"
"1861280","39","은희네해장국"
"2473491","12","이니스프리 제주하우스"
"139965","32","이도펜션 (구 제주펜트하우스)"
"780778","12","이상한 나라의 앨리스"
"138935","32","이어도성 펜션"
"1621161","12","이영숙가옥"
"127283","12","이중섭 거주지"
"1620936","12","이중섭 문화거리"
"126448","12","이호 테우해변"
"666576","32","일성제주비치콘도&리조트"
"127857","12","일출랜드"
"404139","39","일출봉 등경돌"
"143013","32","일출봉관광호텔"
"2301121","12","자연사랑미술관"
"138782","32","작은프랑스호텔"
"404173","39","장수해장국"
"1984289","39","장원식당"
"135258","39","장위동유성집(제주점)"
"655022","39","장춘식당"
"1351196","12","저지오름(닥몰오름,새오름)"
"228864","12","절부암"
"987913","12","점보빌리지"
"1926369","12","정물알오름"
"1926379","12","정물오름"
"126437","12","정방폭포"
"2469463","12","정석 항공관"
"1621147","12","정의향교"
"1621165","12","정의현성"
"2469470","12","제스피 제조장"
"2382246","32","제이뷰호텔"
"138016","32","제주 가산토방"
"2472686","12","제주 감귤박물관"
"2469449","12","제주 국제해양과학연구·지원센터"
"139855","32","제주 그랑빌펜션"
"142951","32","제주 그레이스 관광호텔"
"137814","32","제주 금강산콘도"
"733395","32","제주 나폴리펜션"
"1672315","12","제주 노루생태관찰원"
"905600","32","제주 뉴오션리조트"
"477920","12","제주 당처물동굴 [유네스코 세계자연유산]"
"2023350","12","제주 동백마을"
"139854","32","제주 라임오렌지빌"
"136621","32","제주 마이테르"
"397628","32","제주 명도암유스호스텔"
"801097","12","제주 명도암참살이마을"
"2353963","12","제주 벚꽃길 드라이브"
"984523","32","제주 블랙스톤 호텔"
"128555","12","제주 산방산탄산온천"
"1870985","12","제주 삼다수"
"127744","12","제주 삼성혈"
"129455","12","제주 삼양동 유적"
"904636","32","제주 상록수 숲속의집"
"128150","12","제주 서광다원"
"128506","12","제주 서귀포 상예마을"
"143020","32","제주 선샤인호텔"
"478140","12","제주 선흘리 벵뒤굴 [유네스코 세계자연유산]"
"142713","32","제주 스위트호텔"
"137790","32","제주 신신휴양펜션"
"733594","32","제주 써니데이"
"128444","12","제주 아홉굿 의자마을"
"142972","32","제주 오리엔탈호텔"
"642353","12","제주 유리의성"
"2045014","12","제주 유수암마을"
"138386","32","제주 재즈마을"
"397814","32","제주 중문빌리지"
"733799","32","제주 지삿개풍경"
"1936339","12","제주 청수마을"
"1737497","12","제주 초콜릿랜드"
"904802","32","제주 추억여행"
"983936","32","제주 캐슬렉스 골프텔"
"126445","12","제주 토끼섬 문주란 자생지"
"142943","32","제주 퍼시픽 호텔"
"978165","32","제주 펜션 포시즌(Fourseason)"
"660972","12","제주 하도리 철새도래지"
"733784","32","제주 하이랜드 펜션"
"128050","12","제주 항파두리 항몽 유적"
"905414","32","제주 힐리조트"
"2469464","12","제주 MBC"
"1907801","12","제주4·3평화공원"
"142966","32","제주KAL호텔"
"250282","12","제주공룡랜드"
"138185","32","제주금호리조트"
"1957971","12","제주도 관광특구"
"1162240","12","제주도 지질공원"
"635460","12","제주도예촌"
"750400","32","제주도통나무펜션"
"138366","32","제주동양콘도"
"404175","39","제주뚝배기"
"128556","12","제주러브랜드"
"142968","32","제주로얄호텔"
"749960","32","제주마린리조트 햇살이든"
"637212","12","제주마방목지"
"820884","39","제주마원"
"1892199","32","제주메이더호텔"
"1932636","32","제주메이플호텔 [우수숙박시설 굿스테이]"
"128641","12","제주목관아"
"138602","32","제주목화휴양펜션"
"128049","12","제주미니랜드"
"687563","39","제주미향"
"733684","32","제주바다산책"
"978128","32","제주바닷가하우스"
"882318","32","제주발리리조트"
"2469451","12","제주발전본부 (제주화력발전소)"
"745313","12","제주별빛누리공원"
"1984484","39","제주본가"
"137826","32","제주비앤비펜션"
"1432847","39","제주삼다국수"
"142975","32","제주서울 관광호텔"
"636393","12","제주선인장마을"
"129384","12","제주성지"
"978402","32","제주스웨덴펜션"
"1984491","39","제주슬로비"
"125400","12","제주시"
"142946","32","제주신라호텔"
"978214","32","제주썬레이크빌"
"142973","32","제주썬호텔&카지노"
"702838","12","제주아트랜드"
"2398969","32","제주알(R)호텔 서귀포점 [우수숙박시설 굿스테이]"
"2019719","32","제주알(R)호텔 (제주점)[우수숙박시설 굿스테이]"
"232284","32","제주애 펜션"
"904675","32","제주야구인의 마을"
"135921","39","제주어촌"
"1268380","39","제주에서첫번째"
"1742539","32","제주에코스위츠"
"1846473","32","제주오션팰리스호텔"
"558327","32","제주올레리조트"
"1821483","32","제주올레하우스"
"750434","32","제주올리브"
"128665","12","제주워터월드"
"1847741","39","제주장터가든"
"127479","12","제주절물자연휴양림"
"127948","12","제주조각공원"
"1880892","32","제주카사블랑카"
"138680","32","제주캐슬펜션"
"733770","32","제주태흥리조트"
"1874740","12","제주테크노파크 생물종다양성연구소"
"1989182","12","제주특별자치도"
"142970","32","제주팔레스호텔"
"980356","32","제주펜션 향림원"
"2469456","12","제주하수처리장"
"2472719","12","제주항공우주박물관"
"1621118","12","제주해녀항일운동기념탑"
"138588","32","제주해안휴양펜션"
"397811","32","제주향"
"127743","12","제주향교"
"128345","12","제주허브동산"
"397813","32","제주휴펜션(구,제주펜션)"
"1206420","12","제주힐링명상센터 (무병장수테마파크)"
"1918417","12","제지기오름"
"2384996","39","젠하이드어웨이"
"1812994","12","조랑말체험공원"
"939166","32","조은리조트"
"973933","32","조이빌 리조트"
"1909319","39","종달수다뜰"
"133975","39","종달해녀의집"
"127053","12","주상절리(대포동지삿개)"
"985273","32","중문 오아시스 펜션"
"126449","12","중문·색달 해변"
"127492","12","중문관광단지"
"135402","39","중문신라원"
"138606","32","중문훼미리펜션&리조트"
"404178","39","중앙식당"
"1892529","39","중화요리 민봉태"
"1918413","12","지미봉"
"1984528","39","지미봉가든"
"1874612","12","지속가능환경교육센터"
"2384971","39","지오아라"
"733822","32","지중해리조트"
"404180","39","진미명가 (진미식당)"
"1019521","39","진주식당"
"126444","12","차귀도"
"1895611","12","천아오름"
"482093","12","천왕사(제주)"
"404182","39","천제연토속음식점"
"126439","12","천제연폭포"
"129395","12","천지연 걸매생태공원"
"126438","12","천지연폭포"
"1986683","39","청운식당"
"138017","32","청재설헌"
"1028818","12","초록돌이야기 [원예체험학습장]"
"133976","39","초원흑돼지"
"635928","12","최남단체험감귤농장"
"127863","12","추자도"
"129146","12","추자도 등대"
"741109","12","카멜리아힐"
"1894633","32","카이 호스텔"
"2405466","32","카이로스"
"2469462","12","카카오 본사 (스페이스닷원)"
"1984545","39","카페 하루하나"
"1945496","39","카페동네"
"2385005","39","카페코지"
"1984556","39","커리왈라"
"1984758","39","커피볶는집 e브엘세바 서귀점"
"137369","32","켄싱턴 리조트(서귀포점)"
"137368","32","켄싱턴리조트 제주마리나"
"1882274","32","코델리아리조트"
"1984697","39","콘브리오"
"735764","32","큰갯물 콘도(콘도형 펜션)"
"133990","39","큰갯물횟집"
"660876","32","클럽다인리조트"
"1882504","32","킴스캐빈"
"984562","32","타미우스골프&빌리지"
"654970","39","탐라정"
"934981","32","테디 밸리 골프&리조트 호텔"
"1950243","39","텐피자"
"2374318","39","템플스테이푸드"
"1996781","39","토계정"
"137476","32","토비스콘도 / 제주"
"137957","32","티파니에서 아침을"
"971270","32","파인빌펜션"
"2405964","32","팜밸리리조트"
"660924","32","팜빌리지"
"126466","12","퍼시픽랜드"
"1893889","12","펀테마파크"
"733891","32","펜사콜라 펜션"
"1893137","32","펠리스타운"
"1828347","39","평대해녀촌"
"1621032","12","평화통일 불사리탑"
"1894943","32","포도호텔"
"1918421","12","폭낭오름"
